id,source_neural_network,num_of_calls,parameters,running_time,Mflops
#82,vgg19bn_8xb32_cifar10,8,"{'input_size': [[128]], 'value': [[0]], 'dtype': []}",1.2805461883544922e-05,9.995734723515174
#83,vgg19bn_8xb32_cifar10,8,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2910366058349609e-05,19.829027220683287
#84,vgg19bn_8xb32_cifar10,8,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.285552978515625e-05,19.91360949554896
#85,vgg19bn_8xb32_cifar10,16,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.3134479522705079e-05,19.490684770375747
#86,vgg19bn_8xb32_cifar10,16,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.3039112091064453e-05,39.26647738160541
#87,faster_rcnn_r50_fpn_1x_coco,7,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.3341903686523438e-05,4.796916654753395
#88,faster_rcnn_r50_fpn_1x_coco,7,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.2960433959960937e-05,4.93810625459897
#89,faster_rcnn_r50_fpn_1x_coco,16,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.3296604156494141e-05,19.25303611260534
#90,faster_rcnn_r50_fpn_1x_coco,16,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.3031959533691405e-05,19.644014343212586
#91,faster_rcnn_r50_fpn_1x_coco,11,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.2989044189453124e-05,39.41783494860499
#92,faster_rcnn_r50_fpn_1x_coco,11,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.2814998626708984e-05,39.95318414883721
#93,faster_rcnn_r50_fpn_1x_coco,8,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.2786388397216797e-05,10.010645385045683
#94,faster_rcnn_r50_fpn_1x_coco,8,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2884140014648437e-05,9.934694892672095
#95,faster_rcnn_r50_fpn_1x_coco,7,"{'input_size': [[1024]], 'value': [[1]], 'dtype': []}",1.2838840484619141e-05,79.75798135561745
#96,faster_rcnn_r50_fpn_1x_coco,17,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2769699096679688e-05,20.047457505601194
#97,mobilenet-v2_8xb32_cifar10,16,"{'input_size': [[32]], 'value': [[1]], 'dtype': []}",1.2838840484619141e-05,2.492436917363045
#98,mobilenet-v2_8xb32_cifar10,15,"{'input_size': [[96]], 'value': [[1]], 'dtype': []}",1.2776851654052735e-05,7.513588057473409
#99,mobilenet-v2_8xb32_cifar10,16,"{'input_size': [[384]], 'value': [[0]], 'dtype': []}",1.2788772583007813e-05,30.02633736017897
#100,mobilenet-v2_8xb32_cifar10,18,"{'input_size': [[960]], 'value': [[1]], 'dtype': []}",1.3239383697509766e-05,72.51092814694759
#101,mobilenet-v2_8xb32_cifar10,12,"{'input_size': [[192]], 'value': [[0]], 'dtype': []}",1.2958049774169922e-05,14.817044489420423
#102,mobilenet-v2_8xb32_cifar10,12,"{'input_size': [[144]], 'value': [[1]], 'dtype': []}",1.3480186462402344e-05,10.682344817828087
#103,mobilenet-v2_8xb32_cifar10,12,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.2838840484619141e-05,4.98487383472609
#104,mobilenet-v2_8xb32_cifar10,18,"{'input_size': [[192]], 'value': [[1]], 'dtype': []}",1.3015270233154298e-05,14.75190269280088
#105,mobilenet-v2_8xb32_cifar10,24,"{'input_size': [[384]], 'value': [[1]], 'dtype': []}",1.3067722320556641e-05,29.385381061850026
#106,mobilenet-v2_8xb32_cifar10,18,"{'input_size': [[576]], 'value': [[1]], 'dtype': []}",1.2760162353515626e-05,45.140491479820625
#107,seresnet50_8xb32_cifar10,31,"{'input_size': [[1024]], 'value': [[0]], 'dtype': []}",1.2729167938232422e-05,80.4451638134482
#108,seresnet50_8xb32_cifar10,19,"{'input_size': [[64]], 'value': [[0]], 'dtype': []}",1.2667179107666016e-05,5.0524271786184825
#109,seresnet50_8xb32_cifar10,32,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2629032135009765e-05,20.270753709646968
#110,seresnet50_8xb32_cifar10,16,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.2657642364501954e-05,20.22493546807308
#111,seresnet50_8xb32_cifar10,14,"{'input_size': [[1024]], 'value': [[1]], 'dtype': []}",1.2640953063964844e-05,81.0065502829121
#112,seresnet50_8xb32_cifar10,16,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.268625259399414e-05,10.089661943243751
#113,seresnet50_8xb32_cifar10,28,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.281261444091797e-05,19.980309341272793
#114,seresnet50_8xb32_cifar10,22,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.277923583984375e-05,40.06499343283582
#115,seresnet50_8xb32_cifar10,16,"{'input_size': [[2048]], 'value': [[0]], 'dtype': []}",1.2826919555664062e-05,159.6642117472119
#116,seresnet50_8xb32_cifar10,27,"{'input_size': [[512]], 'value': [[0]], 'dtype': []}",1.263141632080078e-05,40.53385519063798
#117,deeplabv3_r50-d8_512x512_80k_ade20k,14,"{'input_size': [[1024]], 'value': [[1.0]], 'dtype': []}",1.2640953063964844e-05,81.0065502829121
#118,deeplabv3_r50-d8_512x512_80k_ade20k,14,"{'input_size': [[1024]], 'value': [[1]], 'dtype': []}",1.2664794921875e-05,80.8540530120482
#119,deeplabv3_r50-d8_512x512_80k_ade20k,14,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.2712478637695313e-05,5.034423405851463
#120,deeplabv3_r50-d8_512x512_80k_ade20k,14,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.2781620025634765e-05,5.0071900018653235
#121,deeplabv3_r50-d8_512x512_80k_ade20k,35,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2838840484619141e-05,19.93949533890436
#122,deeplabv3_r50-d8_512x512_80k_ade20k,34,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.280069351196289e-05,19.9989164462656
#123,deeplabv3_r50-d8_512x512_80k_ade20k,41,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.2857913970947266e-05,39.81983400704617
#124,deeplabv3_r50-d8_512x512_80k_ade20k,34,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.2836456298828126e-05,39.886397622585434
#125,deeplabv3_r50-d8_512x512_80k_ade20k,16,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.2934207916259766e-05,9.896238009216589
#126,deeplabv3_r50-d8_512x512_80k_ade20k,16,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2829303741455079e-05,9.97715874372793
#127,efficientnet-b0_8xb32_cifar10,18,"{'input_size': [[672]], 'value': [[0]], 'dtype': []}",1.2640953063964844e-05,53.16054862316106
#128,efficientnet-b0_8xb32_cifar10,12,"{'input_size': [[240]], 'value': [[0]], 'dtype': []}",1.2691020965576171e-05,18.91100807815142
#129,efficientnet-b0_8xb32_cifar10,18,"{'input_size': [[672]], 'value': [[1]], 'dtype': []}",1.2755393981933594e-05,52.683594168224296
#130,efficientnet-b0_8xb32_cifar10,12,"{'input_size': [[240]], 'value': [[1]], 'dtype': []}",1.2662410736083984e-05,18.95373677273583
#131,efficientnet-b0_8xb32_cifar10,12,"{'input_size': [[144]], 'value': [[0]], 'dtype': []}",1.2695789337158203e-05,11.342343211267606
#132,efficientnet-b0_8xb32_cifar10,12,"{'input_size': [[144]], 'value': [[1]], 'dtype': []}",1.2617111206054688e-05,11.413072108843537
#133,efficientnet-b0_8xb32_cifar10,24,"{'input_size': [[1152]], 'value': [[0]], 'dtype': []}",1.2757778167724609e-05,90.29785475612036
#134,efficientnet-b0_8xb32_cifar10,18,"{'input_size': [[480]], 'value': [[0]], 'dtype': []}",1.2845993041992188e-05,37.36573719376391
#135,efficientnet-b0_8xb32_cifar10,24,"{'input_size': [[1152]], 'value': [[1]], 'dtype': []}",1.2726783752441407e-05,90.51776335706256
#136,efficientnet-b0_8xb32_cifar10,18,"{'input_size': [[480]], 'value': [[1]], 'dtype': []}",1.2910366058349609e-05,37.17942603878116
#137,swin-base_16xb64_cifar10,10,"{'input_size': [[96]], 'value': [[1.0]], 'dtype': []}",1.3251304626464843e-05,7.2445697013314145
#138,swin-base_16xb64_cifar10,74,"{'input_size': [[384]], 'value': [[1.0]], 'dtype': []}",1.288890838623047e-05,29.793058379578245
#139,swin-base_16xb64_cifar10,8,"{'input_size': [[192]], 'value': [[1.0]], 'dtype': []}",1.287221908569336e-05,14.915843082052232
#140,swin-base_16xb64_cifar10,12,"{'input_size': [[768]], 'value': [[1.0]], 'dtype': []}",1.2881755828857422e-05,59.619201776790675
#141,swin-base_16xb64_cifar10,12,"{'input_size': [[768]], 'value': [[0.0]], 'dtype': []}",1.2903213500976562e-05,59.52005676274945
#142,swin-base_16xb64_cifar10,19,"{'input_size': [[1536]], 'value': [[0.0]], 'dtype': []}",1.3136863708496094e-05,116.922884646098
#143,swin-base_16xb64_cifar10,9,"{'input_size': [[96]], 'value': [[0.0]], 'dtype': []}",1.280069351196289e-05,7.4995936673496
#144,swin-base_16xb64_cifar10,75,"{'input_size': [[384]], 'value': [[0.0]], 'dtype': []}",1.2662410736083984e-05,30.32597883637733
#145,swin-base_16xb64_cifar10,18,"{'input_size': [[1152]], 'value': [[0.0]], 'dtype': []}",1.2722015380859375e-05,90.55169055472264
#146,swin-base_16xb64_cifar10,8,"{'input_size': [[192]], 'value': [[0.0]], 'dtype': []}",1.2629032135009765e-05,15.203065282235228
#147,fcn_r50-d8_512x512_80k_ade20k,7,"{'input_size': [[1024]], 'value': [[1.0]], 'dtype': []}",1.2764930725097656e-05,80.21978513261114
#148,fcn_r50-d8_512x512_80k_ade20k,7,"{'input_size': [[1024]], 'value': [[1]], 'dtype': []}",1.2657642364501954e-05,80.89974187229232
#149,fcn_r50-d8_512x512_80k_ade20k,7,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.2700557708740235e-05,5.039148789187159
#150,fcn_r50-d8_512x512_80k_ade20k,7,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.2950897216796875e-05,4.941742562592047
#151,fcn_r50-d8_512x512_80k_ade20k,18,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.28173828125e-05,19.97287619047619
#152,fcn_r50-d8_512x512_80k_ade20k,17,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.2848377227783203e-05,19.924695193913525
#153,fcn_r50-d8_512x512_80k_ade20k,18,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.321554183959961e-05,38.74226317878405
#154,fcn_r50-d8_512x512_80k_ade20k,14,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.301288604736328e-05,39.345614657383656
#155,fcn_r50-d8_512x512_80k_ade20k,8,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.3287067413330077e-05,9.633427453795084
#156,fcn_r50-d8_512x512_80k_ade20k,8,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2977123260498047e-05,9.863511151938269
#157,solo_r50_fpn_1x_coco,7,"{'input_size': [[64]], 'value': [[1]], 'dtype': []}",1.280069351196289e-05,4.9997291115664
#158,solo_r50_fpn_1x_coco,7,"{'input_size': [[64]], 'value': [[1.0]], 'dtype': []}",1.2919902801513671e-05,4.95359763794058
#159,solo_r50_fpn_1x_coco,30,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.277923583984375e-05,20.03249671641791
#160,solo_r50_fpn_1x_coco,30,"{'input_size': [[256]], 'value': [[1.0]], 'dtype': []}",1.2838840484619141e-05,19.93949533890436
#161,solo_r50_fpn_1x_coco,11,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.2803077697753907e-05,39.990384506517685
#162,solo_r50_fpn_1x_coco,11,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.2640953063964844e-05,40.50327514145605
#163,solo_r50_fpn_1x_coco,8,"{'input_size': [[128]], 'value': [[1]], 'dtype': []}",1.2865066528320313e-05,9.949423869532987
#164,solo_r50_fpn_1x_coco,8,"{'input_size': [[128]], 'value': [[1.0]], 'dtype': []}",1.2848377227783203e-05,9.962347596956763
#165,solo_r50_fpn_1x_coco,7,"{'input_size': [[1024]], 'value': [[1]], 'dtype': []}",1.2738704681396484e-05,80.38493909788508
#166,solo_r50_fpn_1x_coco,31,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2826919555664062e-05,19.95802646840149
#167,vit-base-p16_pt-64xb64_cifar10-224,25,"{'input_size': [[768]], 'value': [[1.0]], 'dtype': []}",1.2733936309814452e-05,60.311280134806225
#168,vit-base-p16_pt-64xb64_cifar10-224,1,"{'input_size': [[768]], 'value': [[0]], 'dtype': []}",1.2803077697753907e-05,59.985576759776535
#169,vit-base-p16_pt-64xb64_cifar10-224,1,"{'input_size': [[3072, 768]], 'value': [[0]], 'dtype': []}",1.2805461883544922e-05,184241.3824238317
#170,vit-base-p16_pt-64xb64_cifar10-224,1,"{'input_size': [[3072]], 'value': [[0]], 'dtype': []}",1.2745857238769531e-05,241.01948911335577
#171,vit-base-p16_pt-64xb64_cifar10-224,1,"{'input_size': [[1000, 3072]], 'value': [[0]], 'dtype': []}",1.286029815673828e-05,238874.710567297
#172,vit-base-p16_pt-64xb64_cifar10-224,1,"{'input_size': [[1000]], 'value': [[0]], 'dtype': []}",1.27410888671875e-05,78.48622754491018
#173,sar_r31_parallel_decoder_toy_dataset,806,"{'input_size': [[9]], 'value': [[0]], 'dtype': []}",1.2905597686767579e-05,0.6973718086089045
#174,sar_r31_parallel_decoder_toy_dataset,402,"{'input_size': [[12]], 'value': [[0]], 'dtype': []}",1.2824535369873047e-05,0.9357064138315673
#175,sar_r31_parallel_decoder_toy_dataset,1608,"{'input_size': [[7]], 'value': [[0]], 'dtype': []}",1.277923583984375e-05,0.5477635820895522
#176,sar_r31_parallel_decoder_toy_dataset,812,"{'input_size': [[8]], 'value': [[0]], 'dtype': []}",1.296520233154297e-05,0.6170362633321074
#177,sar_r31_parallel_decoder_toy_dataset,9,"{'input_size': [[256]], 'value': [[1]], 'dtype': []}",1.2791156768798828e-05,20.013827101584344
#178,sar_r31_parallel_decoder_toy_dataset,404,"{'input_size': [[10]], 'value': [[0]], 'dtype': []}",1.264810562133789e-05,0.7906322337417531
#179,sar_r31_parallel_decoder_toy_dataset,19,"{'input_size': [[512]], 'value': [[1]], 'dtype': []}",1.2726783752441407e-05,40.23011704758336
#180,sar_r31_parallel_decoder_toy_dataset,19,"{'input_size': [[512]], 'value': [[1.0]], 'dtype': []}",1.2729167938232422e-05,40.2225819067241
#181,sar_r31_parallel_decoder_toy_dataset,22,"{'input_size': [[512]], 'value': [[0]], 'dtype': []}",1.270771026611328e-05,40.290499962476545
#182,sar_r31_parallel_decoder_toy_dataset,11,"{'input_size': [[256]], 'value': [[0]], 'dtype': []}",1.2683868408203126e-05,20.1831169924812
